Dist_Name,Year,State_Name,RICE_AREA_(1000_ha),RICE_PRODUCTION_(1000_tons),RICE_YIELD_(Kg_per_ha),WHEAT_AREA_(1000_ha),WHEAT_PRODUCTION_(1000_tons),WHEAT_YIELD_(Kg_per_ha),OILSEEDS_AREA_(1000_ha),OILSEEDS_PRODUCTION_(1000_tons),OILSEEDS_YIELD_(Kg_per_ha),MAIZE_AREA_(1000_ha),MAIZE_PRODUCTION_(1000_tons),MAIZE_YIELD_(Kg_per_ha),COTTON_AREA_(1000_ha),COTTON_PRODUCTION_(1000_tons),COTTON_YIELD_(Kg_per_ha),GROUNDNUT_AREA_(1000_ha),GROUNDNUT_PRODUCTION_(1000_tons),GROUNDNUT_YIELD_(Kg_per_ha),SUNFLOWER_AREA_(1000_ha),SUNFLOWER_PRODUCTION_(1000_tons),SUNFLOWER_YIELD_(Kg_per_ha),SUGARCANE_AREA_(1000_ha),SUGARCANE_PRODUCTION_(1000_tons),SUGARCANE_YIELD_(Kg_per_ha),PEARL_MILLET_AREA_(1000_ha),PEARL_MILLET_PRODUCTION_(1000_tons),PEARL_MILLET_YIELD_(Kg_per_ha),FINGER_MILLET_AREA_(1000_ha),FINGER_MILLET_PRODUCTION_(1000_tons),FINGER_MILLET_YIELD_(Kg_per_ha),SOYABEAN_AREA_(1000_ha),SOYABEAN_PRODUCTION_(1000_tons),SOYABEAN_YIELD_(Kg_per_ha),KHARIF_SORGHUM_AREA_(1000_ha),KHARIF_SORGHUM_PRODUCTION_(1000_tons),KHARIF_SORGHUM_YIELD_(Kg_per_ha),RABI_SORGHUM_AREA_(1000_ha),RABI_SORGHUM_PRODUCTION_(1000_tons),RABI_SORGHUM_YIELD_(Kg_per_ha)
Durg,1989,Chhattisgarh,660.2,457.3,692.67,43.8,22.7,518.26,74.4,17.0,228.49,3.7,4.8,1297.3,0.0,0.0,0.0,3.3,2.8,848.48,0.0,0.0,0.0,0.4,0.7,1750.0,0.0,0.0,0.0,0.4,0.1,250.0,0.7,0.5,714.29,0.1,0.1,1000.0,0.0,0.0,0.0
Durg,1990,Chhattisgarh,682.9,806.8,1181.43,36.2,24.8,685.08,84.0,19.6,233.33,4.0,3.8,950.0,0.0,0.0,0.0,3.4,2.9,852.94,0.09,0.0,0.0,0.07,0.1,1428.57,0.0,0.0,0.0,0.0,0.0,0.0,2.03,1.58,778.33,0.5,0.4,800.0,0.0,0.0,0.0
Durg,1991,Chhattisgarh,680.8,773.6,1136.31,34.8,21.6,620.69,86.4,26.0,300.93,3.8,3.5,921.05,0.0,0.0,0.0,2.6,2.7,1038.46,0.12,0.03,250.0,0.46,0.9,1956.52,0.0,0.0,0.0,0.0,0.0,0.0,4.82,3.17,657.68,2.3,1.8,782.61,0.0,0.0,0.0
Durg,1992,Chhattisgarh,688.0,777.3,1129.8,56.1,20.5,365.42,90.8,28.2,310.57,4.4,6.0,1363.64,0.02,0.0,0.0,1.6,2.3,1437.5,0.09,0.02,222.22,0.35,0.6,1714.29,0.0,0.0,0.0,0.0,0.0,0.0,9.52,6.72,705.88,1.1,1.0,909.09,0.0,0.0,0.0
Durg,1993,Chhattisgarh,703.6,876.7,1246.02,33.8,23.8,704.14,124.2,48.4,389.69,3.8,4.2,1105.26,0.03,0.0,0.0,2.5,2.6,1040.0,0.23,0.07,304.35,0.45,0.8,1777.78,0.01,0.01,1000.0,0.0,0.0,0.0,28.88,25.64,887.81,0.2,0.2,1000.0,2.4,3.4,1416.67
Durg,1994,Chhattisgarh,726.8,967.9,1331.73,36.5,29.4,805.48,117.0,40.0,341.88,4.8,4.3,895.83,0.0,0.0,0.0,1.2,1.2,1000.0,0.25,0.08,320.0,0.4,0.7,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,13.4,792.9,0.3,0.2,666.67,0.0,0.0,0.0
Durg,1995,Chhattisgarh,723.3,1052.0,1454.44,37.1,26.5,714.29,121.9,40.0,328.14,4.2,5.6,1333.33,0.0,0.0,0.0,0.9,1.0,1111.11,0.3,0.1,333.33,0.5,0.8,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,21.1,864.75,0.1,0.1,1000.0,0.0,0.0,0.0
Durg,1996,Chhattisgarh,710.9,917.2,1290.2,36.2,29.1,803.87,136.3,57.6,422.6,3.2,4.1,1281.25,0.0,0.0,0.0,0.8,0.8,1000.0,0.3,0.1,333.33,0.6,1.1,1833.33,0.3,0.3,1000.0,0.0,0.0,0.0,45.0,31.0,688.89,0.3,0.2,666.67,0.0,0.0,0.0
Durg,1997,Chhattisgarh,735.7,837.5,1138.37,35.6,18.3,514.04,149.44,62.4,417.56,3.5,3.2,914.29,0.0,0.0,0.0,1.4,1.4,1000.0,0.4,0.1,250.0,0.48,0.9,1875.0,0.0,0.0,0.0,0.26,0.0,0.0,61.6,48.9,793.83,1.21,0.1,82.64,0.02,0.0,0.0
Durg,1998,Chhattisgarh,786.51,684.62,870.45,39.96,24.84,621.62,151.86,47.57,313.25,5.61,5.68,1012.65,0.0,0.0,0.0,1.38,1.38,1000.0,0.0,0.0,0.0,1.17,2.27,1939.21,0.0,0.0,0.0,0.0,0.0,0.0,56.07,26.09,465.2,0.27,0.27,1000.0,0.0,0.0,0.0
Durg,1999,Chhattisgarh,769.79,963.04,1251.04,0.0,0.0,0.0,108.14,35.93,332.25,3.81,4.98,1307.44,0.0,0.0,0.0,1.38,1.38,1000.0,0.9,0.64,710.18,1.03,3.43,3340.34,0.0,0.0,0.0,0.25,0.07,280.0,14.56,10.24,703.61,0.0,0.0,0.0,0.0,0.0,0.0
Durg,2000,Chhattisgarh,748.76,467.89,624.89,29.9,17.59,588.19,61.92,17.34,280.03,3.94,3.12,792.52,0.0,0.0,0.0,1.29,1.15,894.94,0.38,0.26,684.21,0.93,0.17,178.83,0.03,0.02,631.0,0.23,0.07,304.35,10.36,5.7,549.69,0.42,0.23,558.46,0.0,0.0,0.0
Durg,2001,Chhattisgarh,756.26,978.69,1294.13,34.33,24.11,702.43,68.51,22.84,333.41,3.9,2.62,672.21,0.01,0.0,0.0,1.2,1.71,1423.7,0.72,0.51,708.33,1.14,0.21,188.49,0.02,0.0,0.0,0.22,0.06,272.73,8.25,6.01,728.76,0.28,0.25,902.45,0.0,0.0,0.0
Durg,2002,Chhattisgarh,753.41,484.9,643.6,33.25,25.09,754.44,61.3,22.07,359.97,3.71,4.76,1284.3,0.02,0.01,500.0,1.25,1.67,1338.07,0.76,0.53,696.21,1.42,0.29,206.84,0.01,0.0,0.0,0.23,0.05,217.39,12.88,6.91,536.3,0.22,0.21,947.81,0.0,0.0,0.0
Durg,2003,Chhattisgarh,766.58,1145.82,1494.73,37.99,29.58,778.78,61.47,22.11,359.67,3.4,3.35,983.49,0.07,0.05,714.29,0.96,1.33,1384.66,1.38,0.92,665.96,1.99,0.41,207.38,0.0,0.0,0.0,0.24,0.08,333.33,17.76,15.27,859.5,0.17,0.15,872.07,0.0,0.0,0.0
Durg,2004,Chhattisgarh,775.99,984.31,1268.46,36.43,23.19,636.48,67.23,31.95,475.24,3.26,3.87,1186.04,0.41,0.21,512.2,0.7,1.08,1526.54,1.4,0.97,692.22,3.14,0.65,206.84,0.0,0.0,0.0,0.25,0.09,360.0,27.4,25.72,938.76,0.16,0.11,678.48,0.0,0.0,0.0
Durg,2005,Chhattisgarh,775.99,984.31,1268.46,36.43,23.19,636.48,73.67,38.16,517.97,3.26,3.87,1186.04,0.0,0.0,0.0,0.7,1.08,1526.54,1.4,0.97,692.22,3.14,0.65,206.84,0.0,0.0,0.0,0.25,0.09,360.0,27.4,25.72,938.76,0.18,0.11,604.58,0.0,0.0,0.0
Durg,2006,Chhattisgarh,781.7,1177.1,1505.81,36.81,26.62,723.16,88.02,49.86,566.49,5.28,5.03,953.14,0.19,0.05,263.16,0.71,1.04,1465.31,1.99,1.25,628.38,6.83,0.72,105.93,0.0,0.0,0.0,0.12,0.04,333.33,40.33,35.86,889.29,0.21,0.15,717.19,0.0,0.0,0.0
Durg,2007,Chhattisgarh,799.89,1095.84,1369.98,37.32,34.38,921.03,96.56,82.96,859.2,3.3,3.82,1157.23,0.04,0.01,250.0,0.56,0.87,1551.07,0.92,0.74,797.55,9.84,1.21,123.15,0.0,0.0,0.0,0.19,0.05,263.16,61.86,71.13,1149.7,0.17,0.03,177.1,0.0,0.0,0.0
Durg,2008,Chhattisgarh,803.37,704.09,876.42,36.46,31.19,855.47,94.77,73.18,772.2,3.4,3.35,984.92,0.01,0.01,1000.0,0.46,0.72,1567.28,0.31,0.22,690.96,7.54,0.84,111.7,0.0,0.0,0.0,0.2,0.06,300.0,70.14,66.01,941.19,0.21,0.07,334.29,0.0,0.0,0.0
Durg,2009,Chhattisgarh,789.04,622.05,788.37,42.44,38.12,898.09,94.84,72.74,767.05,3.25,3.4,1045.97,0.01,0.0,0.0,0.56,1.02,1814.16,0.45,0.3,654.12,7.13,1.65,231.58,0.0,0.0,0.0,0.17,0.04,235.29,72.21,64.92,898.97,0.19,0.07,369.59,0.0,0.0,0.0
Durg,2010,Chhattisgarh,777.92,1319.18,1695.77,46.12,45.87,994.69,114.35,112.83,986.66,3.17,4.63,1457.32,0.0,0.0,0.0,0.51,0.96,1861.6,0.4,0.29,725.0,4.42,1.13,256.96,1.67,2.41,1443.11,0.0,0.0,0.0,91.77,105.41,1148.66,0.23,0.32,1393.94,0.06,0.0,0.0
Durg,2011,Chhattisgarh,806.55,1416.48,1756.23,44.98,50.19,1115.68,106.25,78.18,735.8,3.63,4.67,1285.56,0.08,0.02,250.0,0.54,0.84,1561.11,0.18,0.15,833.33,4.07,2.06,506.02,0.0,0.0,0.0,0.16,0.04,250.0,87.07,69.83,802.03,0.26,0.2,774.6,0.0,0.0,0.0
Durg,2012,Chhattisgarh,807.07,1534.22,1900.97,43.87,47.69,1087.1,104.27,109.66,1051.69,3.12,4.8,1538.56,0.13,0.02,153.85,0.48,0.72,1502.72,0.19,0.14,736.84,4.97,1.26,252.98,0.0,0.0,0.0,0.18,0.05,277.78,85.05,101.62,1194.76,0.7,0.49,705.81,0.0,0.0,0.0
Durg,2013,Chhattisgarh,819.44,1296.24,1581.86,41.54,43.33,1043.06,108.22,99.31,917.64,3.64,6.34,1742.2,0.05,0.01,200.0,0.49,0.9,1817.44,0.24,0.11,458.33,3.94,0.93,237.45,0.08,0.07,909.09,0.17,0.04,235.29,92.28,92.65,1003.99,0.0,0.0,0.0,0.0,0.0,0.0
Durg,2014,Chhattisgarh,834.87,1444.24,1729.89,44.25,50.96,1151.49,99.93,46.2,462.3,4.02,5.84,1451.66,0.05,0.02,400.0,0.43,0.7,1627.06,0.2,0.1,500.0,5.75,3.46,602.17,0.06,0.04,750.0,0.13,0.03,230.77,85.84,39.93,465.22,0.0,0.0,0.0,0.0,0.0,0.0
Durg,2015,Chhattisgarh,817.68,880.6,1076.95,48.72,54.6,1120.74,113.88,37.19,326.61,9.87,14.47,1467.17,0.05,0.01,200.0,0.44,0.75,1687.82,0.05,0.04,800.0,11.23,2.57,228.49,0.0,0.0,0.0,0.06,0.01,166.67,98.2,49.1,500.02,0.0,0.0,0.0,0.0,0.0,0.0
Durg,2016,Chhattisgarh,858.91,1791.66,2085.96,48.94,61.84,1263.55,0.0,0.0,0.0,7.95,16.12,2028.48,0.06,0.02,317.81,0.35,0.7,2020.21,0.02,0.0,0.0,18.52,7.21,389.38,0.0,0.0,1000.0,0.06,0.01,209.68,81.71,60.69,742.71,0.0,0.0,0.0,0.0,0.0,0.0
Durg,2017,Chhattisgarh,841.13,983.21,1168.92,43.5,50.19,1153.77,0.0,0.0,0.0,9.25,18.09,1956.03,0.45,0.13,297.85,0.45,0.77,1722.94,0.01,0.0,0.0,19.85,3.59,181.06,0.01,0.0,333.33,0.01,0.0,285.71,77.4,25.02,323.3,0.0,0.0,0.0,0.0,0.0,0.0
Bastar,1966,Chhattisgarh,406.0,261.0,642.86,2.0,1.0,500.0,33.98,-1.0,-1.0,23.0,31.0,1347.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.4,3428.57,0.0,0.0,0.0,10.4,2.3,221.15,0.0,0.0,0.0,4.9,4.2,857.14,0.0,0.0,0.0
Bastar,1967,Chhattisgarh,414.0,319.0,770.53,2.0,1.0,500.0,35.69,-1.0,-1.0,24.0,34.0,1416.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.8,3111.11,0.0,0.0,0.0,10.7,2.7,252.34,0.0,0.0,0.0,5.7,4.6,807.02,0.0,0.0,0.0
Bastar,1968,Chhattisgarh,423.2,294.0,694.71,2.3,1.0,434.78,37.22,-1.0,-1.0,24.7,24.0,971.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.7,3083.33,0.0,0.0,0.0,11.4,2.9,254.39,0.0,0.0,0.0,6.9,5.3,768.12,0.0,0.0,0.0
Bastar,1969,Chhattisgarh,429.1,329.0,766.72,2.3,1.5,652.17,38.09,10.3,270.41,25.1,25.0,996.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,4.1,3416.67,0.0,0.0,0.0,11.0,2.8,254.55,0.0,0.0,0.0,6.8,4.8,705.88,0.0,0.0,0.0
Bastar,1970,Chhattisgarh,437.7,316.8,723.78,2.4,1.9,791.67,40.3,9.7,240.69,25.4,36.1,1421.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.8,3454.55,0.0,0.0,0.0,10.8,2.9,268.52,0.0,0.0,0.0,6.5,5.2,800.0,0.0,0.0,0.0
Bastar,1971,Chhattisgarh,445.6,366.6,822.71,2.5,1.5,600.0,42.5,12.6,296.47,26.8,35.1,1309.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.8,3166.67,0.0,0.0,0.0,10.9,3.0,275.23,0.0,0.0,0.0,6.2,4.1,661.29,0.0,0.0,0.0
Bastar,1972,Chhattisgarh,443.1,285.8,645.0,2.7,1.7,629.63,43.1,14.1,327.15,26.8,37.1,1384.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.7,3363.64,0.0,0.0,0.0,11.2,2.8,250.0,0.0,0.0,0.0,6.6,5.2,787.88,0.0,0.0,0.0
Bastar,1973,Chhattisgarh,450.5,364.3,808.66,2.6,1.9,730.77,49.2,16.8,341.46,27.4,39.4,1437.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,4.0,3333.33,0.0,0.0,0.0,11.8,3.0,254.24,0.0,0.0,0.0,8.1,6.9,851.85,0.0,0.0,0.0
Bastar,1974,Chhattisgarh,451.6,302.9,670.73,2.4,2.0,833.33,50.2,15.9,316.73,28.2,34.6,1226.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.7,3083.33,0.0,0.0,0.0,11.2,2.7,241.07,0.0,0.0,0.0,8.1,5.8,716.05,0.0,0.0,0.0
Bastar,1975,Chhattisgarh,458.3,407.9,890.03,3.7,2.9,783.78,53.3,17.8,333.96,29.4,34.8,1183.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.7,3363.64,0.0,0.0,0.0,12.2,3.5,286.89,0.0,0.0,0.0,9.1,7.9,868.13,0.0,0.0,0.0
Bastar,1976,Chhattisgarh,459.6,296.1,644.26,3.3,2.2,666.67,37.3,5.2,139.41,28.7,32.6,1135.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.9,3222.22,0.0,0.0,0.0,11.3,2.0,176.99,0.0,0.0,0.0,7.4,4.7,635.14,0.0,0.0,0.0
Bastar,1977,Chhattisgarh,473.4,430.4,909.17,3.3,2.6,787.88,44.2,10.6,239.82,29.3,29.2,996.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.5,3125.0,0.0,0.0,0.0,10.4,2.6,250.0,0.0,0.0,0.0,7.7,6.0,779.22,0.0,0.0,0.0
Bastar,1978,Chhattisgarh,490.4,402.2,820.15,3.0,2.8,933.33,44.8,11.8,263.39,27.6,30.2,1094.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.8,3500.0,0.0,0.0,0.0,11.2,2.9,258.93,0.0,0.0,0.0,9.1,6.3,692.31,0.0,0.0,0.0
Bastar,1979,Chhattisgarh,497.5,309.2,621.51,3.0,2.4,800.0,41.3,8.8,213.08,27.0,39.4,1459.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.7,2428.57,0.0,0.0,0.0,11.3,3.2,283.19,0.0,0.0,0.0,9.4,8.3,882.98,0.0,0.0,0.0
Bastar,1980,Chhattisgarh,519.4,391.8,754.33,2.9,3.1,1068.97,37.5,9.8,261.33,28.0,30.3,1082.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.7,3400.0,0.0,0.0,0.0,10.8,3.1,287.04,0.0,0.0,0.0,9.4,8.1,861.7,0.0,0.0,0.0
Bastar,1981,Chhattisgarh,523.5,389.3,743.65,3.0,3.3,1100.0,38.6,11.0,284.97,27.0,29.4,1088.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.1,3500.0,0.0,0.0,0.0,11.6,3.0,258.62,0.0,0.0,0.0,9.0,8.2,911.11,0.0,0.0,0.0
Bastar,1982,Chhattisgarh,527.7,372.4,705.7,3.2,3.9,1218.75,41.7,11.7,280.58,28.0,36.7,1310.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.1,3500.0,0.0,0.0,0.0,11.8,3.5,296.61,0.2,0.1,500.0,9.0,5.5,611.11,0.0,0.0,0.0
